Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Math_26, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Math_27, 1,1,1,1,1,1,1,1,4093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1415,1,1,1,1,1,-,-,1,1,
Math_28, 6,6,6,6,6,6,3355,6,3699,6,-,6,3355,3355,6,6,6,6,3355,6,6,6,6,3350,6,6,6,6,6,3355,6,6,6,1932,3355,3355,6,6,6,-,-,6,6,
Math_29, 117,1,1,1,1,1,1,118,3293,1,1,118,1,1,1,1,1,1,1,118,1,117,117,-,118,1,1,1,1,1,1,1,118,1388,1,1,1,1,118,1,1,118,1,
Math_30, 4,4,4,4,4,4,4,4,4158,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,4,4,4,4,4,4,4,4,4,1428,4,4,4,4,4,-,-,4,4,
Math_31, 1,1,1,1,1,1,1,1,268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5992,1,1,1,1,1,1,1,1,1,268,1,1,1,1,1,1,1,1,1,
Math_32, 3,3,3,3,3,3,3,3,4532,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,3,3,3,3,3,3,3,3,3,1112,3,3,3,3,3,3,3,3,3,
Math_33, 4,4,4,4,4,4,6247,4,3705,4,-,4,6247,6247,4,4,4,4,6247,4,4,4,4,8246,4,4,4,4,4,6247,4,4,4,2063,6247,6247,4,4,4,-,-,4,4,
Math_34, 1,1,1,1,1,1,1,1,4042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1391,1,1,1,1,1,-,-,1,1,
Math_35, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Math_36, 3,1,1,1,1,1,1,3,3385,1,-,3,1,1,3,1,1,3,1,3,-,3,3,-,3,1,1,1,1,1,1,3,3,1481,1,1,1,1,3,-,-,3,1,
Math_37, 202,5,5,3,5,5,3,202,3285,5,5,202,3,3,10,5,5,10,3,202,10,186,202,504,202,5,3,77,3,3,3,10,202,1376,3,3,5,3,202,3,12,126,5,
Math_38, 5,5,5,5,5,5,5,5,4071,5,5,5,5,5,5,5,5,5,5,5,5,5,5,192,5,5,5,5,5,5,5,5,5,1102,5,5,5,5,5,5,5,5,5,
Math_39, 27,27,27,27,27,27,13591,27,1454,27,-,27,13591,13591,27,27,27,27,13591,27,27,27,27,13582,27,27,27,27,27,13591,27,27,27,1454,13591,13591,27,27,27,-,-,27,27,
Math_40, 23,23,23,23,23,23,2883,23,3225,23,-,23,2883,2883,23,23,23,23,2883,23,23,23,23,2878,23,23,23,23,23,2883,23,23,23,3052,2883,2883,23,23,23,-,-,23,23,
Math_41, 2,2,2,2,2,2,2,2,4010,2,-,2,2,2,2,2,2,2,2,2,2,2,2,-,2,2,2,2,2,2,2,2,2,1510,2,2,2,2,2,-,-,2,2,
Math_42, 23,23,23,23,23,23,5115,23,3722,23,-,23,5115,5115,23,23,23,23,5115,23,23,23,23,5115,23,23,23,23,23,5115,23,23,23,3398,5115,5115,23,23,23,-,-,23,23,
Math_43, 3,23,23,23,23,23,5919,3,936,13,-,3,5919,5919,9,23,23,9,5919,3,9,3,3,5908,3,13,23,30,23,5919,23,9,3,930,5919,5919,23,23,3,-,3,9,13,
Math_44, 6,6,6,6,6,6,5102,6,642,6,-,6,5102,5102,6,6,6,6,5102,6,6,6,6,5098,6,6,6,6,6,5102,6,6,6,642,5102,5102,6,6,6,-,-,6,6,
Math_45, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Math_46, 1,2,2,2,2,2,2,1,3034,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2602,1,2,2,2,2,2,2,2,1,1285,2,2,2,2,1,-,-,2,2,
Math_47, 2,2,2,2,2,2,2,2,3037,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2613,2,2,2,2,2,2,2,2,2,1286,2,2,2,2,2,-,-,2,2,
Math_48, 6,6,6,6,6,6,7288,6,2780,6,-,6,7288,7288,6,6,6,6,7288,6,6,6,6,7284,6,6,6,6,6,7288,6,6,6,2415,7288,7288,6,6,6,-,-,6,6,
Math_49, 4,4,4,4,4,4,4,4,3785,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2835,4,4,4,4,4,4,4,4,4,1264,4,4,4,4,4,-,-,4,4,
Math_50, 1,1,1,1,1,1,1,1,2685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7570,1,1,1,1,1,1,1,1,1,979,1,1,1,1,1,1,1,1,1,
